model,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,0.9951278928136419,0.9895833333333334,1.0,0.9947643979057592,0.9987707363647214,0.9983401135902299
Decision Tree,0.997563946406821,0.9947643979057592,1.0,0.9973753280839895,0.9986752595775152,0.996933467305372
Random Forest,0.9939098660170523,0.9947229551451188,0.9921052631578947,0.9934123847167325,0.99859470103831,0.996713524460781
SVM (RBF),0.9963459196102314,0.994750656167979,0.9973684210526316,0.9960578186596584,0.9984664041055019,0.9971005139000515
