model,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,0.9937287301213586,0.9897020963589555,0.9995171414775471,0.994585404616266,0.996015813086613,0.993645522281291
Decision Tree,0.9957192697074121,0.9932080764829648,0.9994057125877502,0.9962972562668938,0.9972040211341998,0.9959370993303143
Random Forest,0.9953126003296162,0.994372037914692,0.9975114214612042,0.9959392557156367,0.9968720533203803,0.9953157630539797
SVM (RBF approximation),0.9753001862117677,0.9921316985600245,0.9647884708242024,0.9782690569448629,0.9925984822369867,0.9925549671229839
XGBoost,0.9960403244793562,0.9940137462124011,0.999145711844891,0.996573122163564,0.9984416361894438,0.9980483574602234
