model,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
Logistic Regression,0.586043751974541,0.7854507116499736,0.027187300428792992,0.052555465415681984,0.7058146895048828,0.6025746784177815,74565.0,407.0,53315.0,1490.0
Decision Tree,0.5842945976559791,0.8247344461305007,0.01983395675577046,0.038736346952229925,0.5098493990929988,0.43056864492139524,74741.0,231.0,53718.0,1087.0
Random Forest,0.5842252479252872,0.8240244835501148,0.019651491652221513,0.03838751069289992,0.5124674088708716,0.43812660147260424,74742.0,230.0,53728.0,1077.0
SVM (RBF approximation),0.5855120707059032,0.8258354755784062,0.023446765806039594,0.045598907045652136,0.4100011069789748,0.441570620858005,74701.0,271.0,53520.0,1285.0
XGBoost,0.5843485363354061,0.8337200309358082,0.019669738162576406,0.03843274270027452,0.6838193451054557,0.6378197415170477,74757.0,215.0,53727.0,1078.0
