threshold,precision,recall,f1
0.05,0.8393960192175703,0.02231548216403613,0.04347516974156625
0.1,0.8401697312588402,0.021676854301614815,0.042263291769686406
0.2,0.8379360465116279,0.021038226439193505,0.04104590519926666
0.3,0.837434750186428,0.020490831128546664,0.04000284971324761
0.4,0.8352315869400152,0.02007116139038409,0.03920031360250882
0.5,0.8337200309358082,0.019669738162576406,0.03843274270027452
0.6,0.831496062992126,0.019268314934768726,0.037663843067320554
0.7,0.8295819935691319,0.018830398686251255,0.036824921051223036
0.8,0.8259783513738551,0.018100538272055468,0.03542477591686605
0.9,0.8156723063223509,0.016713803485083476,0.032756401087112
0.95,0.8038647342995169,0.01518109661527233,0.02979942693409742
