model,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
Logistic Regression,0.9937287301213586,0.9897020963589555,0.9995171414775471,0.994585404616266,0.996015813086613,0.993645522281291,19518.0,280.0,13.0,26910.0
Decision Tree,0.9957192697074121,0.9932080764829648,0.9994057125877502,0.9962972562668938,0.9972040211341998,0.9959370993303143,19614.0,184.0,16.0,26907.0
Random Forest,0.9951627747693756,0.994480459344323,0.9971399918285481,0.9958084498683185,0.9968950870981099,0.9953527992482923,19649.0,149.0,77.0,26846.0
SVM (RBF approximation),0.9753001862117677,0.9921316985600245,0.9647884708242024,0.9782690569448629,0.9925957975425512,0.9925530348321446,19592.0,206.0,948.0,25975.0
XGBoost,0.9960403244793562,0.9940137462124011,0.999145711844891,0.996573122163564,0.9984416361894438,0.9980483574602234,19636.0,162.0,23.0,26900.0
