model,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,0.9937382055241036,0.9897024750836674,0.9995542844408127,0.9946039841815427,0.9960457585100142,0.9939445139627044
Decision Tree,0.9957110996740436,0.9933173343178882,0.9992942836979535,0.9962968449118649,0.9971914791859938,0.9959371401804811
Random Forest,0.9952607651398182,0.9942984079970382,0.9975114214612042,0.9959023232529249,0.9968531416363181,0.9952850787089258
SVM (RBF approximation),0.9822868416538,0.9934949510230324,0.9757085020242915,0.984521400194888,0.9963043166155819,0.9948315043258635
XGBoost,0.9959898781952308,0.9938672971774789,0.9992199977714222,0.9965364597803338,0.998423617699105,0.9980348325751212
