model,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,0.9900497512437811,0.9833333333333333,1.0,0.9915966386554622,0.9971921584643659,0.997759584065362
Decision Tree,0.9900497512437811,0.9833333333333333,1.0,0.9915966386554622,0.9879518072289157,0.9833333333333333
Random Forest,0.9950248756218906,0.9915966386554622,1.0,0.9957805907172996,0.991014907085971,0.9865634513549273
SVM (RBF approximation),0.9751243781094527,0.991304347826087,0.9661016949152542,0.9785407725321889,0.9981110884214826,0.9986090048363117
